Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
mobilenet,2,1,mobilenet_config_1,1:CPU,4,Yes,30.3,171.1
mobilenet,1,4,mobilenet_config_1,1:CPU,4,Yes,30.0,251.8
mobilenet,2,2,mobilenet_config_1,1:CPU,4,Yes,29.5,318.1
mobilenet,1,2,mobilenet_config_1,1:CPU,4,Yes,28.9,107.5
mobilenet,1,1,mobilenet_config_1,1:CPU,4,Yes,26.3,100.8
mobilenet,1,1,mobilenet_config_0,1:CPU,1,Yes,28.3,63.6
mobilenet,1,2,mobilenet_config_0,1:CPU,1,Yes,27.1,170.6
mobilenet,1,4,mobilenet_config_0,1:CPU,1,Yes,25.4,328.1
mobilenet,1,1,mobilenet_config_3,2:CPU,1,Yes,23.5,107.3
mobilenet,1,4,mobilenet_config_3,2:CPU,1,Yes,0.9,4865.4
mobilenet,1,2,mobilenet_config_3,2:CPU,1,Yes,0.9,2464.0
mobilenet,1,1,mobilenet_config_9,2:CPU,1,Yes,23.1,66.2
mobilenet,1,2,mobilenet_config_9,2:CPU,1,Yes,0.9,2467.1
mobilenet,1,4,mobilenet_config_9,2:CPU,1,Yes,0.9,4798.1
mobilenet,1,1,mobilenet_config_15,2:CPU,1,Yes,23.0,63.9
mobilenet,1,2,mobilenet_config_15,2:CPU,1,Yes,0.9,2480.8
mobilenet,1,4,mobilenet_config_15,2:CPU,1,Yes,0.9,4804.4

